Date,Close, Volume
7/30/2013,46.55,2368006
7/29/2013,46.70,10545730
7/26/2013,46.47,11332350
7/25/2013,45.81,12943960
7/24/2013,46.38,2502919
7/23/2013,47.10,1704064
7/22/2013,47.09,1336050
7/19/2013,47.14,2696652
7/18/2013,47.22,2457101
7/17/2013,47.09,2041041
7/16/2013,47.23,2637532
7/15/2013,47.50,3097327
7/12/2013,46.55,3189361
7/11/2013,46.24,3857209
7/10/2013,45.42,3458964
7/9/2013,44.57,4153545
7/8/2013,44.57,4108583
7/5/2013,44.28,1872904
7/3/2013,44.46,1147669
7/2/2013,44.48,4815491
7/1/2013,44.47,3251692
6/28/2013,44.78,3285018
6/27/2013,44.48,2815764
6/26/2013,44.60,2735235
6/25/2013,43.91,3179466
6/24/2013,43.57,2795506
6/21/2013,43.78,5150106
6/20/2013,43.19,5733645
6/19/2013,44.79,4245507
6/18/2013,45.90,2853356
6/17/2013,45.57,3556035
6/14/2013,45.51,3945945
6/13/2013,45.92,3011302
6/12/2013,45.20,3535195
6/11/2013,45.36,3272423
6/10/2013,45.91,4701978
6/7/2013,46.15,4548690
6/6/2013,45.67,4674275
6/5/2013,45.61,2828625
6/4/2013,46.05,3282753
6/3/2013,46.14,4676226
5/31/2013,45.82,2810434
5/30/2013,46.09,3593219
5/29/2013,46.19,4280172
5/28/2013,46.56,7232588
5/24/2013,47.71,2110556
5/23/2013,48.28,2908944
5/22/2013,48.59,2939658
5/21/2013,49.36,2032294
5/20/2013,49.47,1751441
5/17/2013,49.64,2243164
5/16/2013,49.05,2228155
5/15/2013,49.41,2862659
5/14/2013,48.87,2484461
5/13/2013,48.67,2768944
5/10/2013,48.82,2691216
5/9/2013,48.83,3444769
5/8/2013,50.12,3170673
5/7/2013,51.07,2567903
5/6/2013,50.46,2611696
5/3/2013,51.08,2821924
5/2/2013,51.17,2164566
5/1/2013,51.23,2669981
4/30/2013,51.43,2640084
4/29/2013,51.31,7913455
4/26/2013,50.54,7131799
4/25/2013,50.76,7200368
4/24/2013,50.90,2751439
4/23/2013,50.64,2659948
4/22/2013,50.37,2396628
4/19/2013,49.94,3047264
4/18/2013,49.48,2263115
4/17/2013,49.37,2681140
4/16/2013,49.54,2412840
4/15/2013,49.07,2259252
4/12/2013,49.98,1685439
4/11/2013,49.93,2405710
4/10/2013,49.64,2556140
4/9/2013,49.00,1680257
4/8/2013,49.23,1892056
4/5/2013,48.71,2239763
4/4/2013,48.66,2086687
4/3/2013,48.10,2125113
4/2/2013,48.34,3029863
4/1/2013,48.50,1561052
3/28/2013,48.63,2807863
3/27/2013,48.15,1819541
3/26/2013,48.03,1380241
3/25/2013,47.66,2029778
3/22/2013,47.86,1548771
3/21/2013,47.63,1926199
3/20/2013,48.06,2084652
3/19/2013,47.70,1847099
3/18/2013,47.69,2019700
3/15/2013,47.90,3268959
3/14/2013,47.68,2229242
3/13/2013,47.44,1359597
3/12/2013,47.29,2003072
3/11/2013,47.38,2171036
3/8/2013,47.49,2299493
3/7/2013,47.39,1690858
3/6/2013,47.66,1985964
3/5/2013,47.66,2806241
3/4/2013,47.46,3662939
3/1/2013,46.71,2980701
2/28/2013,46.79,2456456
2/27/2013,46.66,2200132
2/26/2013,46.33,3965519
2/25/2013,45.68,3086682
2/22/2013,46.18,2171638
2/21/2013,45.36,2481173
2/20/2013,45.57,3319773
2/19/2013,45.56,3398395
2/15/2013,45.13,4385262
2/14/2013,44.77,3665271
2/13/2013,44.93,1324472
2/12/2013,44.90,1695150
2/11/2013,44.73,1372326
2/8/2013,44.57,2312792
2/7/2013,44.50,2004119
2/6/2013,44.58,3153384
2/5/2013,44.85,3095688
2/4/2013,45.00,3576371
2/1/2013,45.24,2374080
1/31/2013,45.29,2426750
1/30/2013,45.11,3018957
1/29/2013,45.02,8931140
1/28/2013,44.49,7392131
1/25/2013,44.46,6943138
1/24/2013,44.19,2274271
1/23/2013,44.10,3530678
1/22/2013,44.02,2295289
1/18/2013,43.51,2346368
1/17/2013,43.20,1902362
1/16/2013,43.12,1566620
1/15/2013,43.16,2187538
1/14/2013,43.24,2047002
1/11/2013,43.24,2849547
1/10/2013,43.55,2070993
1/9/2013,43.16,2064757
1/8/2013,43.15,2517873
1/7/2013,43.37,2361194
1/4/2013,43.55,2679258
1/3/2013,43.62,2355247
1/2/2013,43.65,3979656
12/31/2012,42.68,3288940
12/28/2012,42.21,1726220
12/27/2012,42.64,2377662
12/26/2012,42.79,1760028
12/24/2012,43.20,955343
12/21/2012,43.45,5646575
12/20/2012,43.60,2150269
12/19/2012,43.51,2039024
12/18/2012,43.91,3276280
12/17/2012,43.53,2401145
12/14/2012,42.84,2204238
12/13/2012,42.94,2092864
12/12/2012,43.48,2176335
12/11/2012,43.44,2284765
12/10/2012,43.37,1688630
12/7/2012,43.27,1948453
12/6/2012,43.27,1659135
12/5/2012,43.20,3452617
12/4/2012,42.35,1500181
12/3/2012,42.28,2210252
11/30/2012,42.65,3183869
11/29/2012,42.18,2157525
11/28/2012,41.88,2192005
11/27/2012,41.45,2342712
11/26/2012,41.48,2659095
11/23/2012,41.03,1179370
11/21/2012,40.99,2702538
11/20/2012,41.18,3050747
11/19/2012,41.45,2193658
11/16/2012,41.52,2616278
11/15/2012,40.96,2553820
11/14/2012,41.18,2695064
11/13/2012,41.34,2753894
11/12/2012,41.27,2849898
11/9/2012,41.80,2002337
11/8/2012,42.04,2626261
11/7/2012,42.07,4281503
11/6/2012,43.32,3769932
