Date,Volume,Close
28/04/2011,90239800,46.91
29/04/2011,251586300,47.37
2/5/2011,110678400,46.85
3/5/2011,78337000,47.11
4/5/2011,97312600,47.29
5/5/2011,83992300,46.91
6/5/2011,70033600,46.9
9/5/2011,51186800,47.02
10/5/2011,70522900,47.27
11/5/2011,84000000,46.97
12/5/2011,80500000,46.88
13/05/2011,81529000,46.06
16/05/2011,112443800,45.09
17/05/2011,113083600,45.47
18/05/2011,83694100,45.98
19/05/2011,65292500,46.07
20/05/2011,84492100,45.35
23/05/2011,95900000,45.24
24/05/2011,80481800,44.94
25/05/2011,73556000,45.56
26/05/2011,55640200,45.32
27/05/2011,50899800,45.65
31/05/2011,104438600,47.06
1/6/2011,138670700,46.74
2/6/2011,84695800,46.82
3/6/2011,78312500,46.46
6/6/2011,115485300,45.73
7/6/2011,132446300,44.92
8/6/2011,83430900,44.95
9/6/2011,68772200,44.84
10/6/2011,108488800,44.09
13/06/2011,82368300,44.18
14/06/2011,83642300,44.97
15/06/2011,99799000,44.2
16/06/2011,127647800,43.99
17/06/2011,153755000,43.33
20/06/2011,160161400,42.66
21/06/2011,123345600,44.01
22/06/2011,97645800,43.64
23/06/2011,139939800,44.81
24/06/2011,109951800,44.15
27/06/2011,84953400,44.92
28/06/2011,73574900,45.35
29/06/2011,88136300,45.19
30/06/2011,80738700,45.41
1/7/2011,108828300,46.44
5/7/2011,88763500,47.27
6/7/2011,111156500,47.59
7/7/2011,99915900,48.32
8/7/2011,122408300,48.66
11/7/2011,110668600,47.89
12/7/2011,112902300,47.86
13/07/2011,97909700,48.43
14/07/2011,107633400,48.4
15/07/2011,121116800,49.37
18/07/2011,143163300,50.57
19/07/2011,204786400,50.98
20/07/2011,235335100,52.34
21/07/2011,131633600,52.39
22/07/2011,129182200,53.21
25/07/2011,147451500,53.91
26/07/2011,119145600,54.57
27/07/2011,164831100,53.11
28/07/2011,148508500,53.01
29/07/2011,158146100,52.83
1/8/2011,153209000,53.67
2/8/2011,159884900,52.61
3/8/2011,183127000,53.11
4/8/2011,217851900,51.05
5/8/2011,301147700,50.54
8/8/2011,285958400,47.78
9/8/2011,270645900,50.6
10/8/2011,219664200,49.2
11/8/2011,185492300,50.56
12/8/2011,132244000,51
15/08/2011,115136000,51.87
16/08/2011,124687500,51.47
17/08/2011,110515300,51.47
18/08/2011,212858800,49.52
19/08/2011,193972100,48.16
22/08/2011,133828800,48.22
23/08/2011,164208800,50.54
24/08/2011,156566900,50.89
25/08/2011,217836500,50.56
26/08/2011,160369300,51.89
29/08/2011,101317300,52.76
30/08/2011,104480600,52.76
31/08/2011,130646600,52.06
1/9/2011,85931300,51.55
2/9/2011,109734800,50.6
6/9/2011,127424500,51.37
7/9/2011,87644200,51.94
8/9/2011,104039600,51.97
9/9/2011,141203300,51.07
12/9/2011,116958100,51.4
13/09/2011,110140100,52.03
14/09/2011,133681100,52.67
15/09/2011,104454700,53.16
16/09/2011,174628300,54.18
19/09/2011,205965200,55.69
20/09/2011,193938500,55.93
21/09/2011,151494000,55.76
22/09/2011,242120200,54.36
23/09/2011,136569300,54.69
26/09/2011,203219100,54.54
27/09/2011,158124400,54.01
28/09/2011,107409400,53.71
29/09/2011,162771700,52.84
30/09/2011,136910200,51.59
3/10/2011,167274800,50.68
4/10/2011,308419300,50.39
5/10/2011,196617400,51.17
6/10/2011,203145600,51.05
7/10/2011,133864500,50.03
10/10/2011,110628700,52.6
11/10/2011,151421900,54.15
12/10/2011,155571500,54.41
13/10/2011,106546300,55.25
14/10/2011,143341800,57.09
17/10/2011,171511200,56.82
18/10/2011,220400600,57.12
19/10/2011,276014900,53.93
20/10/2011,137317600,53.48
21/10/2011,155311100,53.15
24/10/2011,125534500,54.89
25/10/2011,107606800,53.81
26/10/2011,114076200,54.19
27/10/2011,123666200,54.75
28/10/2011,80710700,54.78
31/10/2011,96375300,54.76
1/11/2011,132947500,53.64
2/11/2011,81837700,53.76
3/11/2011,110346600,54.53
4/11/2011,75557300,54.15
7/11/2011,67568900,54.08
8/11/2011,100110500,54.96
9/11/2011,139671000,53.47
10/11/2011,186188100,52.11
11/11/2011,163446500,52.03
14/11/2011,108226300,51.31
15/11/2011,107702700,52.6
16/11/2011,87302600,52.05
17/11/2011,119975100,51.06
18/11/2011,92984500,50.72
21/11/2011,111995100,49.92
22/11/2011,102255300,50.94
23/11/2011,107067800,49.65
25/11/2011,63690200,49.18
28/11/2011,86603300,50.88
29/11/2011,93963800,50.49
